bar,mmol/g
4.976744186,0.152866242
10,0.343949045
15.02325581,0.535031847
18.93023256,4.738853503
24.23255814,6.904458599
30.37209302,8.050955414
35.11627907,8.624203822
40.13953488,9.070063694
44.88372093,9.452229299
50.18604651,9.834394904
55.20930233,10.21656051
60.23255814,10.53503185
64.97674419,10.85350318
70,11.10828025
